Hora de inicio de la toma de datos: 12:22:40
AT(s) ROLL1(udig) MCF1 IFD1 A1 MCF2 IFP2 IFD2(*) A2(**) MCF3 IFP3 IFD3(*) A3 MCF4 IFP4 IFD4(*) A4 MCF5 IFP5 IFD5(*) A5 ROLL5 C C_Ano usado
0.01 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.02 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.03 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.04 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.05 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.06 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.07 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.08 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.09 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.1 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.113 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.12 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.13 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.14 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.15 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.16 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.171 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.181 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.191 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.201 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.211 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.221 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.231 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.241 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.251 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.261 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.271 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.281 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.29 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.3 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.31 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.32 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.33 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.34 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.35 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
