Hora de inicio de la toma de datos: 11:30:49
AT(s)	W	X	Y	Z
0.01	0.997283	-0.022836	-0.069154	-0.011072	
0.039	0.997232	-0.02234	-0.069921	-0.011824	
0.061	0.997129	-0.021751	-0.071383	-0.012856	
0.089	0.997072	-0.022063	-0.072045	-0.013032	
0.112	0.997071	-0.022301	-0.072073	-0.012558	
0.137	0.997113	-0.021657	-0.071667	-0.012693	
0.162	0.997158	-0.021147	-0.071074	-0.013328	
0.186	0.997201	-0.021072	-0.070393	-0.013821	
0.226	0.997143	-0.021495	-0.071014	-0.014158	
0.252	0.997012	-0.020843	-0.072895	-0.014789	
0.282	0.996949	-0.020355	-0.073857	-0.014962	
0.306	0.996949	-0.019961	-0.074031	-0.014637	
0.331	0.997027	-0.020767	-0.072988	-0.013348	
0.356	0.997202	-0.022938	-0.070471	-0.009796	
0.383	0.997481	-0.025658	-0.066068	-0.003071	
0.414	0.997744	-0.029349	-0.060132	0.005397	
0.438	0.99766	-0.038944	-0.052251	0.020676	
0.464	0.996967	-0.049055	-0.044977	0.040336	
0.501	0.994047	-0.065525	-0.036409	0.079061	
0.533	0.989783	-0.076859	-0.032522	0.11561	
0.576	0.984971	-0.086538	-0.024559	0.147444	
0.601	0.979529	-0.100363	-0.017132	0.173657	
0.633	0.976615	-0.105859	-0.007789	0.186964	
0.658	0.973205	-0.110414	0.007488	0.201554	
0.702	0.969233	-0.119414	0.022645	0.214045	
0.731	0.966959	-0.121359	0.029967	0.222181	
0.759	0.965138	-0.117906	0.035448	0.230979	
0.783	0.962346	-0.121843	0.039547	0.23975	
0.814	0.960443	-0.123287	0.042675	0.246025	
0.837	0.959008	-0.119136	0.047686	0.25266	
0.876	0.957107	-0.123503	0.048166	0.257629	
0.908	0.956152	-0.123734	0.04836	0.261006	
0.932	0.955338	-0.120602	0.049001	0.265299	
0.956	0.954295	-0.122143	0.049813	0.268182	
0.981	0.953459	-0.1274	0.048531	0.268941	
1.007	0.953863	-0.125526	0.047169	0.268635	
1.039	0.954479	-0.123188	0.045929	0.267742	
1.063	0.95477	-0.123394	0.045085	0.266752	
1.086	0.954956	-0.125	0.045226	0.26531	
1.127	0.956749	-0.123591	0.044247	0.259612	
1.158	0.959155	-0.121471	0.042051	0.251989	
1.201	0.962677	-0.114479	0.041872	0.241651	
1.234	0.965633	-0.107179	0.041302	0.233154	
1.258	0.968697	-0.107219	0.038373	0.220585	
1.288	0.970055	-0.112529	0.039408	0.211608	
1.325	0.971552	-0.112511	0.043029	0.203902	
1.352	0.973817	-0.108918	0.043147	0.194823	
1.375	0.976385	-0.110056	0.041227	0.181273	
1.405	0.978	-0.110373	0.044696	0.171277	
1.433	0.981287	-0.101702	0.047084	0.156574	
1.464	0.98413	-0.101776	0.041543	0.139301	
1.501	0.986323	-0.104851	0.040438	0.120577	
1.525	0.990695	-0.089836	0.043221	0.092658	
1.557	0.993497	-0.0799	0.036108	0.072631	
1.584	0.995329	-0.075432	0.031138	0.05158	
1.613	0.996329	-0.069993	0.032117	0.037395	
1.637	0.997266	-0.061233	0.03432	0.023078	
1.664	0.997889	-0.055011	0.03289	0.010458	
1.688	0.998021	-0.055037	0.030013	-0.005023	
1.714	0.997938	-0.05409	0.029892	-0.017309	
1.739	0.997874	-0.050742	0.030069	-0.027735	
1.761	0.997525	-0.048714	0.029313	-0.041367	
1.788	0.996574	-0.046975	0.030643	-0.060791	
1.825	0.994708	-0.044617	0.029361	-0.087772	
1.853	0.991049	-0.037776	0.016662	-0.126951	
1.882	0.9867	-0.035884	0.008417	-0.158316	
1.909	0.982289	-0.033495	0.001456	-0.184348	
1.938	0.978987	-0.028598	-0.004848	-0.20185	
1.963	0.975417	-0.023817	-0.011731	-0.218764	
1.987	0.97221	-0.021909	-0.018542	-0.232344	
2.011	0.969216	-0.025044	-0.023611	-0.243793	
2.036	0.966458	-0.029582	-0.030079	-0.253335	
2.063	0.963787	-0.032392	-0.037944	-0.261964	
2.101	0.961976	-0.035406	-0.042429	-0.267486	
2.125	0.961009	-0.038822	-0.044924	-0.270069	
2.152	0.959797	-0.036976	-0.051244	-0.27349	
2.183	0.959328	-0.037891	-0.052558	-0.274759	
2.208	0.959157	-0.040179	-0.053216	-0.274902	
2.231	0.959214	-0.040782	-0.055516	-0.274158	
2.257	0.959157	-0.041378	-0.057708	-0.273815	
2.284	0.959267	-0.041469	-0.058368	-0.273278	
2.309	0.959634	-0.039378	-0.058847	-0.272193	
2.335	0.959778	-0.038403	-0.056783	-0.272264	
2.364	0.960198	-0.039122	-0.05485	-0.271075	
2.39	0.961086	-0.040613	-0.053257	-0.268009	
2.414	0.962377	-0.039536	-0.05401	-0.263346	
2.437	0.964738	-0.037865	-0.055731	-0.254442	
2.464	0.967767	-0.038706	-0.056244	-0.242415	
2.491	0.971783	-0.042162	-0.056408	-0.225119	
2.511	0.977183	-0.04885	-0.056581	-0.198812	
2.55	0.982666	-0.053204	-0.060949	-0.166799	
2.575	0.986869	-0.049221	-0.060868	-0.141288	
2.602	0.991875	-0.037733	-0.054596	-0.108537	
2.632	0.994523	-0.039136	-0.05295	-0.08117	
2.659	0.996581	-0.043496	-0.05211	-0.0471	
2.681	0.997434	-0.051436	-0.048336	-0.011983	
2.708	0.996118	-0.075194	-0.043192	0.015117	
2.753	0.993081	-0.089987	-0.0338	0.067451	
2.783	0.989854	-0.091627	-0.030388	0.104264	
2.814	0.986316	-0.095572	-0.027798	0.131431	
2.84	0.982737	-0.099933	-0.018602	0.154583	
2.863	0.978961	-0.105767	-0.006807	0.174363	
2.888	0.975862	-0.109299	0.000914	0.189064	
2.912	0.973163	-0.111836	0.009052	0.200912	
2.937	0.970304	-0.116103	0.013452	0.211778	
2.963	0.96758	-0.118424	0.017161	0.22242	
2.986	0.963453	-0.124967	0.026045	0.235505	
3.013	0.959623	-0.13239	0.034488	0.24578	
3.037	0.957154	-0.133878	0.042071	0.253305	
3.064	0.955257	-0.134805	0.046215	0.259185	
3.086	0.953895	-0.135786	0.049556	0.26304	
3.111	0.952913	-0.137012	0.050711	0.26573	
3.139	0.952296	-0.135307	0.050603	0.268819	
3.163	0.951455	-0.135947	0.051522	0.271289	
3.19	0.950679	-0.137455	0.051303	0.273284	
3.212	0.950338	-0.134122	0.050299	0.276294	
3.251	0.949754	-0.133684	0.050358	0.278497	
3.282	0.949166	-0.135706	0.050225	0.279544	
3.308	0.949484	-0.134267	0.049066	0.279364	
3.34	0.950057	-0.133781	0.047463	0.277925	
3.365	0.950238	-0.136101	0.046176	0.276392	
3.389	0.95063	-0.135977	0.04562	0.275193	
3.416	0.951353	-0.134504	0.044509	0.273595	
3.436	0.952103	-0.133683	0.043342	0.271568	
3.457	0.95322	-0.13293	0.041769	0.268248	
3.483	0.954742	-0.131721	0.039154	0.263789	
3.509	0.956782	-0.126851	0.036021	0.259192	
3.532	0.959392	-0.121001	0.033435	0.252601	
3.558	0.961874	-0.118519	0.030934	0.244528	
3.584	0.963888	-0.116489	0.029465	0.237658	
3.608	0.96606	-0.111192	0.031909	0.23097	
3.638	0.967651	-0.106353	0.039129	0.225408	
3.665	0.969178	-0.105887	0.045989	0.21764	
