Hora de inicio de la toma de datos: 11:31:21
AT(s)	W	X	Y	Z
0.01	0.95112	0.033244	-0.058801	-0.301343	
0.04	0.951069	0.031777	-0.058545	-0.301714	
0.065	0.951062	0.030869	-0.05848	-0.301841	
0.088	0.951068	0.030203	-0.058536	-0.30188	
0.112	0.95101	0.029826	-0.058464	-0.302114	
0.141	0.95085	0.029602	-0.058427	-0.302647	
0.171	0.950715	0.029888	-0.05827	-0.303072	
0.207	0.950559	0.032268	-0.058621	-0.303248	
0.24	0.950431	0.036271	-0.059093	-0.303108	
0.264	0.950543	0.040458	-0.059537	-0.302137	
0.29	0.950639	0.050073	-0.059664	-0.300365	
0.321	0.950524	0.055138	-0.059419	-0.299889	
0.344	0.950455	0.0576	-0.059129	-0.299704	
0.372	0.950426	0.057608	-0.058864	-0.299846	
0.395	0.950511	0.054734	-0.058927	-0.300101	
0.421	0.950522	0.051004	-0.059531	-0.300605	
0.446	0.950566	0.046998	-0.059819	-0.301061	
0.47	0.95059	0.042991	-0.059163	-0.301714	
0.507	0.950696	0.037914	-0.057964	-0.302292	
0.532	0.951001	0.038131	-0.057504	-0.301391	
0.557	0.951154	0.040668	-0.055978	-0.300865	
0.582	0.951156	0.038944	-0.053375	-0.301558	
0.607	0.9512	0.033129	-0.051073	-0.30251	
0.64	0.951649	0.027208	-0.048547	-0.302104	
0.666	0.951977	0.026404	-0.046413	-0.301478	
0.691	0.952156	0.021499	-0.042592	-0.301866	
0.721	0.952765	0.01439	-0.039122	-0.300834	
0.745	0.953402	0.008488	-0.036196	-0.299403	
0.782	0.954212	0.004456	-0.032164	-0.297364	
0.808	0.955264	0.002848	-0.028753	-0.294339	
0.832	0.956426	0.00377	-0.0264	-0.290756	
0.863	0.958152	0.006014	-0.02359	-0.285222	
0.889	0.960095	0.007603	-0.021486	-0.278745	
0.922	0.96102	0.009054	-0.021805	-0.275468	
0.944	0.962153	0.010017	-0.023322	-0.271325	
0.97	0.963228	0.0124	-0.024226	-0.267303	
0.994	0.964264	0.015255	-0.024988	-0.263322	
1.02	0.965163	0.018086	-0.026085	-0.259717	
1.045	0.966289	0.020064	-0.027777	-0.25517	
1.069	0.967545	0.026527	-0.028811	-0.249644	
1.094	0.96877	0.033949	-0.029893	-0.243801	
1.119	0.970109	0.042229	-0.029684	-0.237115	
1.157	0.971522	0.047432	-0.023645	-0.230948	
1.19	0.972494	0.048184	-0.018088	-0.227169	
1.214	0.973014	0.054358	-0.017062	-0.223604	
1.245	0.973037	0.060101	-0.018896	-0.221878	
1.269	0.973184	0.064181	-0.021905	-0.219803	
1.296	0.973135	0.066095	-0.024102	-0.219222	
1.321	0.973092	0.065972	-0.025294	-0.219319	
1.358	0.972947	0.067112	-0.026008	-0.219533	
1.388	0.972747	0.070382	-0.02722	-0.219247	
1.416	0.972141	0.075179	-0.028743	-0.220143	
1.439	0.9711	0.080122	-0.030854	-0.222695	
1.471	0.970465	0.085547	-0.032879	-0.223155	
1.496	0.969802	0.090889	-0.034485	-0.223685	
1.52	0.968809	0.096559	-0.035527	-0.225441	
1.545	0.967357	0.102348	-0.036552	-0.228933	
1.571	0.965443	0.109299	-0.038323	-0.233462	
1.597	0.963732	0.114185	-0.040469	-0.237791	
1.621	0.962403	0.117217	-0.04191	-0.241421	
1.645	0.961065	0.120542	-0.043052	-0.244887	
1.671	0.959558	0.124898	-0.044063	-0.248408	
1.696	0.958064	0.127455	-0.045197	-0.25264	
1.721	0.956771	0.127879	-0.045955	-0.257145	
1.759	0.955902	0.127361	-0.045299	-0.260727	
1.788	0.955371	0.127285	-0.044451	-0.262848	
1.816	0.955156	0.126803	-0.042466	-0.264187	
1.841	0.954789	0.124365	-0.039321	-0.267142	
1.87	0.954405	0.120318	-0.036956	-0.270682	
1.895	0.953979	0.116656	-0.034342	-0.274109	
1.92	0.953707	0.113508	-0.031291	-0.276731	
1.946	0.953324	0.110485	-0.029267	-0.279481	
1.972	0.952919	0.106303	-0.026932	-0.2827	
1.996	0.952553	0.103279	-0.02447	-0.285267	
2.02	0.952021	0.101364	-0.021975	-0.28792	
2.045	0.95167	0.097681	-0.021197	-0.290404	
2.071	0.951101	0.091432	-0.020521	-0.294324	
2.095	0.950399	0.088586	-0.019216	-0.297532	
2.12	0.9499	0.08549	-0.018823	-0.300044	
2.158	0.949304	0.080949	-0.019335	-0.303142	
2.19	0.948518	0.083693	-0.01833	-0.304916	
2.214	0.948101	0.085379	-0.017593	-0.305787	
2.24	0.947575	0.08099	-0.020178	-0.30844	
2.272	0.94749	0.0789	-0.020467	-0.309221	
2.294	0.94743	0.079757	-0.019152	-0.30927	
2.319	0.947618	0.076644	-0.019287	-0.309474	
2.358	0.947491	0.073551	-0.021115	-0.310491	
2.382	0.948014	0.068694	-0.018617	-0.310167	
2.407	0.948306	0.06667	-0.016485	-0.309837	
2.432	0.948132	0.066454	-0.01843	-0.310308	
2.458	0.947889	0.067721	-0.020558	-0.310642	
2.483	0.947993	0.065542	-0.019464	-0.310862	
2.507	0.947987	0.063712	-0.018068	-0.311344	
2.532	0.947951	0.064516	-0.019034	-0.311232	
2.558	0.947667	0.065262	-0.020003	-0.311878	
2.591	0.947205	0.061565	-0.019265	-0.314072	
2.614	0.946864	0.059068	-0.019836	-0.315542	
2.639	0.946554	0.058063	-0.022648	-0.316467	
2.683	0.946252	0.051072	-0.022187	-0.318601	
2.711	0.946631	0.045332	-0.02109	-0.318419	
2.739	0.94703	0.045448	-0.020491	-0.317251	
2.764	0.946516	0.038831	-0.018217	-0.319794	
2.795	0.946195	0.029304	-0.016488	-0.321847	
2.82	0.946026	0.020954	-0.015844	-0.323026	
2.859	0.945269	0.014401	-0.016053	-0.32558	
2.89	0.943812	0.000376	-0.016292	-0.33008	
2.919	0.94212	-0.009043	-0.01632	-0.334757	
2.944	0.940683	-0.020303	-0.017038	-0.338251	
2.983	0.940256	-0.028859	-0.018487	-0.338738	
3.008	0.940183	-0.033596	-0.019397	-0.338453	
3.036	0.939893	-0.037096	-0.01934	-0.338898	
3.064	0.939524	-0.043145	-0.019418	-0.339198	
3.089	0.939824	-0.050456	-0.020258	-0.337306	
3.12	0.940386	-0.051305	-0.019842	-0.335632	
3.147	0.941061	-0.051109	-0.019199	-0.333803	
3.17	0.941962	-0.050987	-0.018712	-0.331297	
3.197	0.943205	-0.053892	-0.019472	-0.327232	
3.222	0.944746	-0.053466	-0.020796	-0.322743	
3.247	0.946388	-0.05032	-0.021719	-0.318349	
3.269	0.947685	-0.045858	-0.021983	-0.315129	
3.294	0.949073	-0.04274	-0.022221	-0.311352	
3.321	0.9503	-0.03896	-0.023477	-0.307995	
3.347	0.951702	-0.032984	-0.025888	-0.304147	
3.37	0.952824	-0.028677	-0.027647	-0.300898	
3.409	0.954031	-0.024762	-0.028972	-0.297274	
3.436	0.955435	-0.019905	-0.030817	-0.292914	
3.465	0.957383	-0.014834	-0.031314	-0.286734	
3.496	0.958269	-0.011224	-0.030497	-0.284014	
3.52	0.959727	-0.008629	-0.03043	-0.279148	
3.545	0.961308	-0.003581	-0.030259	-0.273786	
3.571	0.962388	0.000413	-0.028339	-0.270198	
3.594	0.963653	0.004137	-0.026604	-0.265798	
3.62	0.965249	0.010548	-0.025709	-0.25985	
3.645	0.966142	0.013718	-0.022361	-0.256674	
3.673	0.967038	0.014408	-0.01896	-0.253518	
3.694	0.96809	0.016939	-0.016016	-0.249517	
3.733	0.969037	0.018962	-0.013646	-0.24581	
3.764	0.969562	0.015438	-0.01093	-0.244114	
3.789	0.970191	0.015174	-0.009438	-0.241682	
3.816	0.970709	0.017223	-0.010053	-0.239429	
3.839	0.971466	0.02184	-0.011138	-0.235907	
3.87	0.971819	0.025536	-0.011418	-0.234064	
3.892	0.972091	0.030508	-0.011821	-0.232312	
3.933	0.972207	0.034842	-0.012802	-0.231161	
3.957	0.972285	0.03837	-0.014174	-0.230195	
3.982	0.972203	0.042769	-0.015763	-0.229659	
4.008	0.972047	0.04567	-0.016982	-0.229674	
4.033	0.971951	0.047303	-0.017897	-0.229681	
4.059	0.9718	0.04986	-0.018749	-0.229709	
4.087	0.971376	0.053984	-0.020347	-0.230437	
4.115	0.970894	0.056889	-0.021553	-0.231653	
4.139	0.970405	0.06263	-0.024449	-0.231933	
4.171	0.969808	0.067619	-0.026076	-0.232851	
4.196	0.968803	0.073512	-0.028195	-0.234992	
4.22	0.967511	0.078966	-0.030423	-0.238245	
4.244	0.966519	0.081164	-0.032362	-0.241261	
4.282	0.965363	0.084434	-0.033955	-0.244527	
4.309	0.964232	0.088451	-0.034671	-0.247447	
4.34	0.962843	0.09179	-0.03605	-0.251414	
4.364	0.961284	0.095936	-0.036919	-0.255668	
4.396	0.960256	0.10013	-0.036395	-0.257989	
4.42	0.959112	0.104853	-0.036032	-0.260406	
4.446	0.958416	0.1073	-0.035916	-0.261983	
4.467	0.957893	0.109475	-0.035156	-0.263099	
4.493	0.95739	0.111416	-0.034563	-0.26419	
4.52	0.956814	0.113026	-0.034514	-0.265596	
4.543	0.956492	0.112901	-0.035085	-0.266732	
4.569	0.956248	0.113386	-0.034124	-0.267525	
4.591	0.956127	0.113925	-0.032644	-0.267913	
4.62	0.955969	0.11408	-0.031637	-0.268529	
4.644	0.955751	0.1138	-0.030984	-0.2695	
4.668	0.955517	0.114096	-0.029951	-0.270319	
4.694	0.955434	0.113609	-0.028658	-0.270957	
4.733	0.9553	0.113133	-0.028013	-0.271696	
4.758	0.955044	0.113178	-0.027037	-0.272672	
4.79	0.95475	0.114536	-0.024611	-0.273366	
4.815	0.95468	0.113007	-0.023716	-0.274323	
4.838	0.954636	0.109827	-0.023541	-0.275779	
4.865	0.9545	0.107588	-0.022904	-0.277181	
4.887	0.95448	0.106453	-0.022403	-0.277729	
4.915	0.954348	0.100523	-0.023189	-0.280316	
4.944	0.954197	0.094545	-0.024365	-0.2828	
